Type:,Filename:,Our Vals:,Notes:,Discrepancy Type:,Discrepancy Notes:,Annotator:
FN,TEXASINSTRUMENTS_TLV6003DBVR,980 nA,Entities do not have doc TEXASINSTRUMENTS_TLV6003DBVR.,Missing doc.,,Bot
FN,TEXASINSTRUMENTS_TLV6003DBVR,1 uA,Entities do not have doc TEXASINSTRUMENTS_TLV6003DBVR.,Missing doc.,,Bot
FP,TEXASINSTRUMENTS_OPA810IDR,3.15 mA,"Gold vals: [Quantity('3.8 mA'), Quantity('3.7 mA')]",Invalid value.,,Bot
FP,STMICROELECTRONICS_TSV324IDT,10 nA,"Gold vals: [Quantity('420 uA'), Quantity('500 uA')]",Invalid value.,,Bot
FP,STMICROELECTRONICS_TS941AILT,1.85 uA,Gold vals: [Quantity('1.2 uA')],Invalid value.,,Bot
FP,STMICROELECTRONICS_TS941AILT,1.8 uA,Gold vals: [Quantity('1.2 uA')],Invalid value.,,Bot
FN,STMICROELECTRONICS_LM2904WHYST,500 uA,"Probs vals: [Quantity('1.2 mA'), Quantity('160 mA'), Quantity('2.5 nA'), Quantity('40 mA'), Quantity('700 uA'), Quantity('70 mA'), Quantity('32 mA'), Quantity('20 mA'), Quantity('5 mA'), Quantity('1 mA'), Quantity('100 nA'), Quantity('300 uA'), Quantity('65 mA'), Quantity('85 mA'), Quantity('60 mA'), Quantity('10 mA'), Quantity('100 mA'), Quantity('50 nA'), Quantity('2 mA')]",Probs missing value.,,Bot
FN,STMICROELECTRONICS_L2720W13TR,10 mA,Entities do not have doc STMICROELECTRONICS_L2720W13TR.,Missing doc.,,Bot
FN,SILEGOTECHNOLOGY_SLG88104V,375 nA,"Probs vals: [Quantity('1 nA'), Quantity('5 mA'), Quantity('10 nA'), Quantity('380 nA'), Quantity('195 uA'), Quantity('1.71 uA'), Quantity('4.5 mA'), Quantity('800 nA'), Quantity('550 nA'), Quantity('5 nA'), Quantity('10 mA'), Quantity('3.8 mA'), Quantity('2.4 nA'), Quantity('8.5 mA'), Quantity('100 mA'), Quantity('54 nA'), Quantity('10 uA'), Quantity('5.5 uA'), Quantity('6.5 uA'), Quantity('400 nA')]",Probs missing value.,,Bot
FP,RENESASINTERSIL_ISL55002IBZ-T7,9.25 mA,Gold vals: [Quantity('8.5 mA')],Invalid value.,,Bot
FP,RENESASINTERSIL_ISL28194FHZ-T7,2 nA,Gold vals: [Quantity('330 nA')],Invalid value.,,Bot
FP,RENESASINTERSIL_EL5364IUZ,25 uA,Gold vals: [Quantity('3.5 mA')],Invalid value.,,Bot
FP,RENESASINTERSIL_EL5364IUZ,14 uA,Gold vals: [Quantity('3.5 mA')],Invalid value.,,Bot
FN,ONSEMICONDUCTOR_NCV21911SN2T1G,475 uA,Entities do not have doc ONSEMICONDUCTOR_NCV21911SN2T1G.,Missing doc.,,Bot
FN,ONSEMICONDUCTOR_NCS21911SN2T1G,475 uA,Entities do not have doc ONSEMICONDUCTOR_NCS21911SN2T1G.,Missing doc.,,Bot
FP,ONSEMICONDUCTOR_MC33274ADTBR2G,17 mA,Gold vals: [Quantity('2.15 mA')],Invalid value.,,Bot
FN,ONSEMICONDUCTOR_MC33078DR2G,8.4 mA,Entities do not have doc ONSEMICONDUCTOR_MC33078DR2G.,Missing doc.,,Bot
FN,ONSEMICONDUCTOR_MC33078DR2G,4.1 mA,Entities do not have doc ONSEMICONDUCTOR_MC33078DR2G.,Missing doc.,,Bot
FN,ONSEMICONDUCTOR_LM301ADR2G,1.2 mA,Entities do not have doc ONSEMICONDUCTOR_LM301ADR2G.,Missing doc.,,Bot
FN,ONSEMICONDUCTOR_LM301ADR2G,1.8 mA,Entities do not have doc ONSEMICONDUCTOR_LM301ADR2G.,Missing doc.,,Bot
FN,MAXIMINTEGRATED_MAX9615AXAT,220 uA,Probs do not have doc MAXIMINTEGRATED_MAX9615AXAT.,Probs missing doc.,,Bot
FP,MAXIMINTEGRATED_MAX494CSD,2.7 uA,"Gold vals: [Quantity('150 uA'), Quantity('135 uA')]",Invalid value.,,Bot
FP,MAXIMINTEGRATED_MAX494CSD,200 uA,"Gold vals: [Quantity('150 uA'), Quantity('135 uA')]",Invalid value.,,Bot
FP,MAXIMINTEGRATED_MAX494CSD,190 uA,"Gold vals: [Quantity('150 uA'), Quantity('135 uA')]",Invalid value.,,Bot
FP,MAXIMINTEGRATED_MAX494CSD,185 uA,"Gold vals: [Quantity('150 uA'), Quantity('135 uA')]",Invalid value.,,Bot
FP,MAXIMINTEGRATED_MAX494CSD,225 uA,"Gold vals: [Quantity('150 uA'), Quantity('135 uA')]",Invalid value.,,Bot
FP,MAXIMINTEGRATED_MAX494CSD,175 uA,"Gold vals: [Quantity('150 uA'), Quantity('135 uA')]",Invalid value.,,Bot
FN,MAXIMINTEGRATED_MAX4492AUDT,800 uA,Probs do not have doc MAXIMINTEGRATED_MAX4492AUDT.,Probs missing doc.,,Bot
FP,MAXIMINTEGRATED_MAX4486ASAT,4 mA,"Gold vals: [Quantity('2.2 mA'), Quantity('1.9 mA')]",Invalid value.,,Bot
FP,MAXIMINTEGRATED_MAX4483AUD,120 uA,"Gold vals: [Quantity('45 uA'), Quantity('50 uA')]",Invalid value.,,Bot
FN,MAXIMINTEGRATED_MAX4475ASAT,2.2 mA,Entity vals: [Quantity('2.5 mA')],Missing value.,,Bot
FN,MAXIMINTEGRATED_MAX4471ESAT,2 uA,"Entity vals: [Quantity('1 uA'), Quantity('10 uA')]",Missing value.,,Bot
FP,MAXIMINTEGRATED_MAX4471ESAT,10 uA,"Gold vals: [Quantity('1 uA'), Quantity('2 uA')]",Invalid value.,,Bot
FP,MAXIMINTEGRATED_MAX44248AUAT,190 uA,"Gold vals: [Quantity('100 uA'), Quantity('90 uA')]",Invalid value.,,Bot
FN,MAXIMINTEGRATED_MAX4322ESAT,725 uA,Probs do not have doc MAXIMINTEGRATED_MAX4322ESAT.,Probs missing doc.,,Bot
FN,MAXIMINTEGRATED_MAX4322ESAT,650 uA,Probs do not have doc MAXIMINTEGRATED_MAX4322ESAT.,Probs missing doc.,,Bot
FN,MAXIMINTEGRATED_MAX4291EUKT,100 uA,Probs do not have doc MAXIMINTEGRATED_MAX4291EUKT.,Probs missing doc.,,Bot
FN,MAXIMINTEGRATED_MAX4282EUA,355 uA,"Probs vals: [Quantity('40 nA'), Quantity('320 uA'), Quantity('290 uA'), Quantity('1 uA'), Quantity('2.5 uA'), Quantity('8 mA'), Quantity('4 mA'), Quantity('90 mA'), Quantity('2 mA'), Quantity('10 mA'), Quantity('70 mA'), Quantity('1.2 mA'), Quantity('300 uA'), Quantity('150 nA'), Quantity('510 uA'), Quantity('460 uA'), Quantity('65 mA'), Quantity('5.5 uA'), Quantity('20 uA'), Quantity('330 uA'), Quantity('500 uA'), Quantity('450 uA')]",Probs missing value.,,Bot
FP,MAXIMINTEGRATED_MAX4246ASAT,650 uA,"Gold vals: [Quantity('320 uA'), Quantity('375 uA')]",Invalid value.,,Bot
FP,MAXIMINTEGRATED_MAX4246ASAT,800 uA,"Gold vals: [Quantity('320 uA'), Quantity('375 uA')]",Invalid value.,,Bot
FN,MAXIMINTEGRATED_MAX4242EUAT,14 uA,Entities do not have doc MAXIMINTEGRATED_MAX4242EUAT.,Missing doc.,,Bot
FN,MAXIMINTEGRATED_MAX4242EUAT,10 uA,Entities do not have doc MAXIMINTEGRATED_MAX4242EUAT.,Missing doc.,,Bot
FP,MAXIMINTEGRATED_MAX4232AUAT,2.8 mA,"Gold vals: [Quantity('1.2 mA'), Quantity('1.1 mA')]",Invalid value.,,Bot
FN,MAXIMINTEGRATED_MAX4227ESA,350 uA,"Probs vals: [Quantity('50 mA'), Quantity('2 mA'), Quantity('2.5 mA'), Quantity('55 uA'), Quantity('6.4 uA'), Quantity('60 mA'), Quantity('61 uA'), Quantity('2.5 uA'), Quantity('140 mA'), Quantity('5 uA'), Quantity('63 mA'), Quantity('3.2 uA'), Quantity('11 mA'), Quantity('6 mA'), Quantity('5.6 mA'), Quantity('700 uA'), Quantity('74 mA'), Quantity('2.8 mA'), Quantity('80 mA'), Quantity('5.5 mA'), Quantity('45 uA'), Quantity('1.5 mA'), Quantity('2.85 mA'), Quantity('300 uA'), Quantity('68 mA'), Quantity('5.7 mA'), Quantity('9 mA'), Quantity('800 uA'), Quantity('5 mA')]",Probs missing value.,,Bot
FN,MAXIMINTEGRATED_MAX4163EBLT,25 uA,"Probs vals: [Quantity('10 uA'), Quantity('60 mA'), Quantity('2.54 mA'), Quantity('110 mA'), Quantity('4.5 uA'), Quantity('120 mA'), Quantity('12 mA'), Quantity('200 mA'), Quantity('325 mA'), Quantity('300 mA'), Quantity('15 mA'), Quantity('540 mA'), Quantity('30 mA'), Quantity('2.545 mA'), Quantity('80 mA'), Quantity('100 uA'), Quantity('85 mA'), Quantity('180 mA'), Quantity('2.5 uA'), Quantity('50 mA')]",Probs missing value.,,Bot
FP,MAXIMINTEGRATED_MAX4163EBLT,2.545 mA,Gold vals: [Quantity('25 uA')],Invalid value.,,Bot
FP,MAXIMINTEGRATED_MAX4163EBLT,2.54 mA,Gold vals: [Quantity('25 uA')],Invalid value.,,Bot
FN,MAXIMINTEGRATED_MAX4042ESAT,14 uA,Probs do not have doc MAXIMINTEGRATED_MAX4042ESAT.,Probs missing doc.,,Bot
FN,MAXIMINTEGRATED_MAX4042ESAT,10 uA,Probs do not have doc MAXIMINTEGRATED_MAX4042ESAT.,Probs missing doc.,,Bot
FP,MAXIMINTEGRATED_ICL7621BCPA,2.5 mA,"Gold vals: [Quantity('100 uA'), Quantity('1 mA'), Quantity('10 uA'), Quantity('6 uA')]",Invalid value.,,Bot
FP,MAXIMINTEGRATED_ICL7621BCPA,615 uA,"Gold vals: [Quantity('100 uA'), Quantity('1 mA'), Quantity('10 uA'), Quantity('6 uA')]",Invalid value.,,Bot
FP,MAXIMINTEGRATED_ICL7621BCPA,15 uA,"Gold vals: [Quantity('100 uA'), Quantity('1 mA'), Quantity('10 uA'), Quantity('6 uA')]",Invalid value.,,Bot
FN,DIOOMICROCIRCUITS_DIO8358MP8,50 uA,Probs do not have doc DIOOMICROCIRCUITS_DIO8358MP8.,Probs missing doc.,,Bot
FN,DIOOMICROCIRCUITS_DIO2362LSO8,7 uA,Entities do not have doc DIOOMICROCIRCUITS_DIO2362LSO8.,Missing doc.,,Bot
FN,DIOOMICROCIRCUITS_DIO2072SO8,3 mA,Probs do not have doc DIOOMICROCIRCUITS_DIO2072SO8.,Probs missing doc.,,Bot
FN,DIOOMICROCIRCUITS_DIO2054TP14,16 uA,Probs do not have doc DIOOMICROCIRCUITS_DIO2054TP14.,Probs missing doc.,,Bot
FN,DIODESINCORPORATED_LMV324TSG-13,110 uA,Entities do not have doc DIODESINCORPORATED_LMV324TSG-13.,Missing doc.,,Bot
FN,DIODESINCORPORATED_LMV324TSG-13,190 uA,Entities do not have doc DIODESINCORPORATED_LMV324TSG-13.,Missing doc.,,Bot
FN,DIODESINCORPORATED_LMV324TSG-13,340 uA,Entities do not have doc DIODESINCORPORATED_LMV324TSG-13.,Missing doc.,,Bot
FN,DIODESINCORPORATED_LM2902QT14-13,500 uA,"Entity vals: [Quantity('1 mA'), Quantity('700 uA')]",Missing value.,,Bot
FN,ANALOGDEVICES_OP281GSZ,3 uA,"Probs vals: [Quantity('76 uA'), Quantity('40 uA'), Quantity('2.575 A'), Quantity('74 uA'), Quantity('105 uA'), Quantity('27 uA'), Quantity('4.96 mA'), Quantity('3.2 uA'), Quantity('3.5 mA'), Quantity('10 uA'), Quantity('100 uA'), Quantity('34 uA'), Quantity('6 uA'), Quantity('1.1 mA'), Quantity('25 uA'), Quantity('1 uA'), Quantity('5 uA'), Quantity('12 mA'), Quantity('9.96 mA'), Quantity('4 uA'), Quantity('2.96 mA'), Quantity('3.3 uA'), Quantity('28 uA'), Quantity('95 uA'), Quantity('4.98 mA'), Quantity('2.2 mA'), Quantity('50 uA'), Quantity('120 uA'), Quantity('7 mA'), Quantity('75 uA')]",Probs missing value.,,Bot
FN,ANALOGDEVICES_OP281GSZ,3.2 uA,Entity vals: [Quantity('3.3 uA')],Missing value.,,Bot
FP,ANALOGDEVICES_OP221GSZ-REEL7,950 uA,"Gold vals: [Quantity('850 uA'), Quantity('550 uA')]",Invalid value.,,Bot
FP,ANALOGDEVICES_OP221GSZ-REEL7,600 uA,"Gold vals: [Quantity('850 uA'), Quantity('550 uA')]",Invalid value.,,Bot
