Type:,Filename:,Our Vals:,Notes:,Discrepancy Type:,Discrepancy Notes:,Annotator:
FN,TEXASINSTRUMENTS_TLV6003DBVR,980 nA,Entity vals: [Quantity('1 uA')],Missing value.,,Bot
FN,TEXASINSTRUMENTS_OPA810IDR,3.7 mA,Entities do not have doc TEXASINSTRUMENTS_OPA810IDR.,Missing doc.,,Bot
FN,TEXASINSTRUMENTS_OPA810IDR,3.8 mA,Entities do not have doc TEXASINSTRUMENTS_OPA810IDR.,Missing doc.,,Bot
FN,TEXASINSTRUMENTS_OPA2210ID,2.2 mA,Entities do not have doc TEXASINSTRUMENTS_OPA2210ID.,Missing doc.,,Bot
FN,TEXASINSTRUMENTS_LM358BAIDR,500 uA,Entities do not have doc TEXASINSTRUMENTS_LM358BAIDR.,Missing doc.,,Bot
FN,TEXASINSTRUMENTS_LM358BAIDR,300 uA,Entities do not have doc TEXASINSTRUMENTS_LM358BAIDR.,Missing doc.,,Bot
FN,TEXASINSTRUMENTS_LM358BAIDR,350 uA,Entities do not have doc TEXASINSTRUMENTS_LM358BAIDR.,Missing doc.,,Bot
FN,STMICROELECTRONICS_TSZ182IST,700 uA,Entity vals: [Quantity('800 uA')],Missing value.,,Bot
FN,STMICROELECTRONICS_TSX562AIYST,250 uA,Entity vals: [Quantity('220 uA')],Missing value.,,Bot
FN,STMICROELECTRONICS_TSX562AIYST,235 uA,Entity vals: [Quantity('220 uA')],Missing value.,,Bot
FN,STMICROELECTRONICS_TSV991IYLT,820 uA,Entities do not have doc STMICROELECTRONICS_TSV991IYLT.,Missing doc.,,Bot
FN,STMICROELECTRONICS_TSV991IYLT,800 uA,Entities do not have doc STMICROELECTRONICS_TSV991IYLT.,Missing doc.,,Bot
FN,STMICROELECTRONICS_TSV991IYLT,780 uA,Entities do not have doc STMICROELECTRONICS_TSV991IYLT.,Missing doc.,,Bot
FN,STMICROELECTRONICS_TSV6290AICT,25 uA,Entity vals: [Quantity('36 uA')],Missing value.,,Bot
FN,STMICROELECTRONICS_TSV6290AICT,30 uA,Entity vals: [Quantity('36 uA')],Missing value.,,Bot
FN,STMICROELECTRONICS_TSV6290AICT,26 uA,Entity vals: [Quantity('36 uA')],Missing value.,,Bot
FP,STMICROELECTRONICS_TSV6290AICT,36 uA,"Gold vals: [Quantity('25 uA'), Quantity('30 uA'), Quantity('26 uA')]",Invalid value.,,Bot
FN,STMICROELECTRONICS_TSV621AILT,26 uA,Entity vals: [Quantity('36 uA')],Missing value.,,Bot
FN,STMICROELECTRONICS_TSV621AILT,29 uA,Entity vals: [Quantity('36 uA')],Missing value.,,Bot
FN,STMICROELECTRONICS_TSV621AILT,25 uA,Entity vals: [Quantity('36 uA')],Missing value.,,Bot
FP,STMICROELECTRONICS_TSV621AILT,36 uA,"Gold vals: [Quantity('26 uA'), Quantity('29 uA'), Quantity('25 uA')]",Invalid value.,,Bot
FN,STMICROELECTRONICS_TSV324IDT,420 uA,Entity vals: [Quantity('500 uA')],Missing value.,,Bot
FN,STMICROELECTRONICS_TSU104IQ4T,650 nA,Entity vals: [Quantity('950 nA')],Missing value.,,Bot
FN,STMICROELECTRONICS_TSU104IQ4T,580 nA,Entity vals: [Quantity('950 nA')],Missing value.,,Bot
FN,STMICROELECTRONICS_TSU104IQ4T,600 nA,Entity vals: [Quantity('950 nA')],Missing value.,,Bot
FP,STMICROELECTRONICS_TSU104IQ4T,950 nA,"Gold vals: [Quantity('650 nA'), Quantity('580 nA'), Quantity('600 nA')]",Invalid value.,,Bot
FN,STMICROELECTRONICS_TSB571ILT,380 uA,Entity vals: [Quantity('340 uA')],Missing value.,,Bot
FN,STMICROELECTRONICS_TSB571ILT,360 uA,Entity vals: [Quantity('340 uA')],Missing value.,,Bot
