Type:,Filename:,Our Vals:,Notes:,Discrepancy Type:,Discrepancy Notes:,Annotator:
FN,TLV274-Q1,2.4 MHz,Entity vals: [Quantity('3 MHz')],Missing value.,,Bot
FN,LM6211,17 MHz,Entity vals: [Quantity('20 MHz')],Missing value.,,Bot
FN,OPA191,2.2 MHz,Entity vals: [Quantity('2.5 MHz')],Missing value.,,Bot
FN,TL051,3.6 MHz,Entity vals: [Quantity('3 MHz')],Missing value.,,Bot
FN,TL051,3.2 MHz,Entity vals: [Quantity('3 MHz')],Missing value.,,Bot
FN,TL051,2.4 MHz,Entity vals: [Quantity('3 MHz')],Missing value.,,Bot
FN,NCS20071-D,3 MHz,Entity vals: [Quantity('3.2 MHz')],Missing value.,,Bot
FN,LF156,20 MHz,Entity vals: [Quantity('5 MHz')],Missing value.,,Bot
FN,TL051,2.8 MHz,Entity vals: [Quantity('3 MHz')],Missing value.,,Bot
FN,OPA625,1 MHz,Entity vals: [Quantity('120 MHz')],Missing value.,,Bot
FN,TL051,2.3 MHz,Entity vals: [Quantity('3 MHz')],Missing value.,,Bot
FN,TL051,2.7 MHz,Entity vals: [Quantity('3 MHz')],Missing value.,,Bot
FN,TL051,3.1 MHz,Entity vals: [Quantity('3 MHz')],Missing value.,,Bot
FN,TL051,3.5 MHz,Entity vals: [Quantity('3 MHz')],Missing value.,,Bot
FN,LF156,2.5 MHz,Entity vals: [Quantity('5 MHz')],Missing value.,,Bot
FN,TLE2141-Q1,5.8 MHz,Entity vals: [Quantity('5.9 MHz')],Missing value.,,Bot
FN,TL051,2.6 MHz,Entity vals: [Quantity('3 MHz')],Missing value.,,Bot
FN,INA211,40 kHz,"Entity vals: [Quantity('80 kHz'), Quantity('30 kHz'), Quantity('14 kHz'), Quantity('7 kHz'), Quantity('4 kHz')]",Missing value.,,Bot
FN,LM7372,100 MHz,Entity vals: [Quantity('120 MHz')],Missing value.,,Bot
FN,LMC7111,40 kHz,Entity vals: [Quantity('50 kHz')],Missing value.,,Bot
FN,OPA625,800 kHz,Entity vals: [Quantity('120 MHz')],Missing value.,,Bot
FN,TL051,3.3 MHz,Entity vals: [Quantity('3 MHz')],Missing value.,,Bot
FN,TL051,2.5 MHz,Entity vals: [Quantity('3 MHz')],Missing value.,,Bot
FP,LM324-N,1.2 MHz,Gold vals: [Quantity('1 MHz')],Invalid value.,,Bot
FP,THS3001,1.75 GHz,Gold does not have doc THS3001.,Gold is missing doc.,,Bot
FP,LM324-D,1 MHz,Gold does not have doc LM324-D.,Gold is missing doc.,,Bot
FP,TLE2141-Q1,5.9 MHz,Gold vals: [Quantity('5.8 MHz')],Invalid value.,,Bot
