Document,GBWP (kHz),sent,p
1360FA,12700.0,274,0.01881226
1360FA,18600.0,275,0.013377516
1360FA,250000.0,267,0.0075359666
1360FA,32000.0,287,0.03375235
1360FA,350000.0,268,0.021162782
1360FA,37000.0,284,0.02995494
1360FA,50000.0,281,0.6171285
1360FA,600000.0,263,0.00076311664
1360FA,800000.0,264,0.0009820098
1366FB,100.0,326,9.5403004e-05
1366FB,1000.0,326,0.00016363639
1366FB,160.0,322,0.19971323
1366FB,2000.0,308,0.0011991628
1366FB,30000.0,327,0.00045333
1366FB,340000.0,314,0.011577286
1366FB,400.0,321,0.4515708
1366FB,520000.0,315,0.011045929
1637FD,0.1,1242,9.323799e-05
1637FD,0.1,1382,7.350781e-05
1637FD,0.1,1501,1.770941e-05
1637FD,0.1,1609,3.743321e-05
1637FD,0.35,1243,0.00020514711
1637FD,0.35,1383,0.00015021392
1637FD,0.35,570,0.00044081212
1637FD,0.35,621,0.0006161897
1637FD,0.4,1089,6.759225e-05
1637FD,0.4,1501,1.2273031e-05
1637FD,0.4,1609,2.5942183e-05
1637FD,0.4,980,0.00023598614
1637FD,3.0,1072,0.00097504194
1637FD,3.0,546,0.0015221796
1637FD,3.0,597,0.0017257984
1637FD,3.0,963,0.0010841303
1637FD,35.0,1067,0.00031189126
1637FD,35.0,958,0.00030083425
1637FD,350.0,1234,0.0066525163
1637FD,350.0,1374,0.0063743647
1637FD,400.0,1494,0.004296211
1637FD,400.0,1602,0.004296211
1637FD,5.0,1223,0.00029284024
1637FD,5.0,1363,0.0004700784
1637FD,5.0,559,0.00081218936
1637FD,5.0,610,0.0008385005
1637FD,500.0,564,0.00038778066
1637FD,500.0,615,0.00043971968
1637FD,550.0,563,0.00049909385
1637FD,550.0,614,0.0005837084
1637FD,600.0,1084,0.00018067526
1637FD,600.0,975,0.00035609608
1637FD,650.0,1083,0.00021960487
1637FD,650.0,1233,0.005602426
1637FD,650.0,1373,0.0046125553
1637FD,650.0,556,0.014935814
1637FD,650.0,607,0.014935814
1637FD,650.0,974,0.00043120398
1637FD,750.0,1077,0.003510888
1637FD,750.0,1493,0.014086971
1637FD,750.0,1601,0.014086971
1637FD,750.0,968,0.02494009
1637FD,9.0,551,0.0012550439
1637FD,9.0,602,0.0012928192
1797FB,1.6,309,0.0021406037
1797FB,100.0,512,0.013353164
1797FB,1000.0,293,0.00052993844
1797FB,10000.0,283,0.41106036
1797FB,1100.0,270,0.021323096
1797FB,1100.0,292,0.0005943468
1797FB,1100.0,491,0.00042974358
1797FB,11000.0,482,0.85569626
1797FB,1250.0,490,0.00038655783
1797FB,1300.0,291,0.00039143307
1797FB,1400.0,469,0.019827845
1797FB,1500.0,271,0.008592579
1797FB,1500.0,489,0.00031639857
1797FB,15000.0,263,0.0025620526
1797FB,2.6,507,0.0020805756
1797FB,2000.0,272,0.006341228
1797FB,2250.0,294,0.0007377667
1797FB,2250.0,470,0.0068464815
1797FB,2500.0,492,0.0006084742
1797FB,25000.0,262,0.0048546297
1797FB,25000.0,265,0.0070455074
1797FB,3000.0,471,0.0056884577
1797FB,360.0,319,0.0039204615
1797FB,4500.0,282,0.08396299
1797FB,45000.0,264,0.009466624
1797FB,5000.0,275,0.020598827
1797FB,5000.0,281,0.07373645
1797FB,5000.0,286,4.801749e-05
1797FB,5000.0,481,0.20401469
1797FB,55.0,502,0.0027327829
1797FB,5500.0,480,0.16399191
1797FB,55000.0,299,0.0014426261
1797FB,55000.0,497,0.0028131115
1797FB,6.0,317,0.00020886297
1797FB,6.0,510,0.00034528843
1797FB,6000.0,280,0.15886366
1797FB,6500.0,479,0.7389929
1797FB,80000.0,463,0.0018124355
1797FB,90000.0,464,0.0036788255
2050FC,1000.0,406,0.001272541
2050FC,1000.0,407,0.0011854593
2050FC,1000.0,410,0.0017750458
2050FC,1000.0,411,0.0016536333
2050FC,1000.0,577,0.0014117587
2050FC,1000.0,578,0.0013151629
2050FC,1000.0,581,0.0019577118
2050FC,1000.0,582,0.0018238289
2050FC,1000.0,737,0.0035841046
2050FC,1000.0,740,0.006213199
2050FC,10000.0,408,0.001412717
2050FC,10000.0,409,0.0013160562
2050FC,10000.0,412,0.0017327408
2050FC,10000.0,413,0.0016142181
2050FC,10000.0,428,0.0037231091
2050FC,10000.0,431,0.0045641153
2050FC,10000.0,579,0.0014509368
2050FC,10000.0,580,0.001351664
2050FC,10000.0,583,0.0021900337
2050FC,10000.0,584,0.0020402954
2050FC,1100.0,427,0.0025720324
2050FC,1200.0,430,0.00318621
2050FC,1200.0,598,0.003818767
2050FC,1300.0,601,0.0046038176
2050FC,1500.0,738,0.0020208403
2050FC,15000.0,599,0.0015919117
2050FC,15000.0,602,0.0024026497
2050FC,1600.0,741,0.0020892844
2050FC,2000.0,416,0.0014709366
2050FC,2000.0,417,0.0018401064
2050FC,2000.0,587,0.001524872
2050FC,2000.0,588,0.0025553156
2050FC,2000.0,727,0.0012498107
2050FC,2000.0,728,0.0019385812
2050FC,25000.0,739,0.0016744287
2050FC,25000.0,742,0.0016570834
2050FC,3000.0,420,0.9453115
2050FC,3000.0,421,0.96216446
2050FC,3000.0,591,0.95091844
2050FC,3000.0,592,0.9744946
2050FC,3000.0,731,0.94148976
2050FC,3000.0,732,0.96706396
2050FC,500.0,435,0.001249272
2050FC,500.0,436,0.0012823219
2050FC,500.0,606,0.0013568294
2050FC,500.0,607,0.0025024966
2050FC,500.0,746,0.0016481172
2050FC,500.0,747,0.0013649545
2050FC,750.0,426,0.005839294
2050FC,750.0,429,0.007880366
2050FC,800.0,597,0.0070218756
2050FC,800.0,600,0.008216864
20512FD,1000.0,1007,0.0010123093
20512FD,1000.0,1009,0.0014587187
20512FD,1000.0,489,0.0010404043
20512FD,1000.0,663,0.0011574598
20512FD,1000.0,851,0.0010360111
20512FD,1000.0,853,0.0014802113
20512FD,1100.0,491,0.0013834719
20512FD,1100.0,665,0.0016622181
20512FD,1200.0,495,0.0014439545
20512FD,1200.0,669,0.0014851402
20512FD,1300.0,497,0.0012925952
20512FD,1300.0,671,0.0013294695
20512FD,1500.0,1008,0.0012004406
20512FD,1500.0,1010,0.001229202
20512FD,1500.0,852,0.0012181329
20512FD,1500.0,854,0.0012631424
20512FD,15000.0,1014,0.0020014332
20512FD,15000.0,1016,0.0028583815
20512FD,15000.0,471,0.00066083093
20512FD,15000.0,472,0.00052171183
20512FD,15000.0,475,0.00074195146
20512FD,15000.0,476,0.00058456516
20512FD,15000.0,645,0.0006810903
20512FD,15000.0,646,0.00053660694
20512FD,15000.0,649,0.0007631294
20512FD,15000.0,650,0.00060125365
20512FD,15000.0,858,0.0013473519
20512FD,15000.0,860,0.002831797
20512FD,2000.0,469,0.00087474013
20512FD,2000.0,470,0.00068920624
20512FD,2000.0,473,0.000990473
20512FD,2000.0,474,0.00078041025
20512FD,2000.0,479,0.0009682028
20512FD,2000.0,480,0.0013119563
20512FD,2000.0,643,0.0008997057
20512FD,2000.0,644,0.0007076292
20512FD,2000.0,647,0.0010187373
20512FD,2000.0,648,0.000802685
20512FD,2000.0,653,0.0011503986
20512FD,2000.0,654,0.0015587393
20512FD,2000.0,842,0.0022265436
20512FD,2000.0,843,0.0030972506
20512FD,2000.0,998,0.0015594125
20512FD,2000.0,999,0.002169802
20512FD,3000.0,1002,0.6904627
20512FD,3000.0,1003,0.75643283
20512FD,3000.0,483,0.5628096
20512FD,3000.0,484,0.63570035
20512FD,3000.0,657,0.56265044
20512FD,3000.0,658,0.63555056
20512FD,3000.0,846,0.6796171
20512FD,3000.0,847,0.77007246
20512FD,30000.0,1015,0.0014204376
20512FD,30000.0,1017,0.0014544616
20512FD,30000.0,859,0.0015888792
20512FD,30000.0,861,0.0016269324
20512FD,750.0,488,0.00081301085
20512FD,750.0,490,0.0009506317
20512FD,750.0,662,0.0009519423
20512FD,750.0,664,0.0010737154
20512FD,850.0,494,0.00091324217
20512FD,850.0,496,0.0010340633
20512FD,850.0,668,0.0009393047
20512FD,850.0,670,0.0010635706
6910123FA,1000.0,1130,0.0017578746
6910123FA,1000.0,1139,0.0058436077
6910123FA,1000.0,1147,0.006845881
6910123FA,1000.0,1479,0.0012764601
6910123FA,1000.0,1488,0.016322708
6910123FA,1000.0,1496,0.01908782
6910123FA,1000.0,793,0.0005725078
6910123FA,1000.0,802,0.00589042
6910123FA,1000.0,810,0.0069334623
6910123FA,10000.0,1143,0.017369006
6910123FA,10000.0,1151,0.020307688
6910123FA,10000.0,796,0.0028653394
6910123FA,10000.0,883,0.004115935
6910123FA,10000.0,890,0.0049067466
6910123FA,100000.0,799,0.0016764011
6910123FA,100000.0,825,0.29631573
6910123FA,10300.0,1220,0.0030231401
6910123FA,10300.0,1227,0.003543382
6910123FA,10500.0,1562,0.0066913483
6910123FA,10500.0,1569,0.007837878
6910123FA,10700.0,1186,0.001534918
6910123FA,10700.0,1194,0.0017995189
6910123FA,10700.0,1525,0.0027271486
6910123FA,10700.0,1533,0.0031966178
6910123FA,10700.0,849,0.00097365736
6910123FA,10700.0,857,0.0011614342
6910123FA,11000.0,1513,0.80520445
6910123FA,11000.0,1514,0.82898533
6910123FA,11000.0,829,0.62756735
6910123FA,11000.0,830,0.5703359
6910123FA,11000.0,835,0.6471569
6910123FA,11000.0,836,0.59097373
6910123FA,11200.0,1561,0.0058253612
6910123FA,11200.0,1568,0.0068245297
6910123FA,11600.0,1560,0.006837693
6910123FA,11600.0,1567,0.008009091
6910123FA,12000.0,1219,0.002356011
6910123FA,12000.0,1226,0.0027617663
6910123FA,12000.0,1559,0.0055442457
