Type:,Filename:,Part:,Our Vals:,Notes:
FP,BC546-D,BC546,30,Digikey vals: ['65']
FP,BC546-D,BC546,45,Digikey vals: ['65']
FP,BC546-D,BC546B,30,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC546B,45,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC546B,65,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC546BG,30,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC546BG,45,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC546BRL1,30,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC546BRL1,45,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC546BRL1,65,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC546BRL1G,30,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC546BRL1G,45,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC546BZL1G,30,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC546BZL1G,45,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC547,65,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC547A,30,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC547A,65,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC547ARL,30,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC547ARL,65,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC547ARLG,30,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC547ARLG,65,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC547AZL1G,30,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC547AZL1G,65,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC547B,30,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC547B,65,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC547BG,30,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC547BG,65,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC547BRL1G,30,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC547BRL1G,65,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC547BZL1G,30,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC547BZL1G,65,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC547C,65,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC547CG,65,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC547CZL1G,65,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC548,45,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC548,65,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC548B,45,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC548B,65,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC548BG,45,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC548BG,65,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC548BRL1G,45,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC548BRL1G,65,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC548BZL1G,45,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC548BZL1G,65,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC548C,45,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC548C,65,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC548CG,45,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC548CG,65,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC548CZL1G,45,Digikey parts: {'BC546': ['65']}
FP,BC546-D,BC548CZL1G,65,Digikey parts: {'BC546': ['65']}
FP,CSEMS03485-1,2N3903,40,Digikey parts: {'2N3905': ['40']}
FP,CSEMS03485-1,2N3904,40,Digikey parts: {'2N3905': ['40']}
FP,CSEMS05382-1,BC546,30,Digikey parts: {'BC546A': ['80']}
FP,CSEMS05382-1,BC546,45,Digikey parts: {'BC546A': ['80']}
FP,CSEMS05382-1,BC546,65,Digikey parts: {'BC546A': ['80']}
FP,CSEMS05382-1,BC546-48ABC,30,Digikey parts: {'BC546A': ['80']}
FP,CSEMS05382-1,BC546-48ABC,45,Digikey parts: {'BC546A': ['80']}
FP,CSEMS05382-1,BC546-48ABC,65,Digikey parts: {'BC546A': ['80']}
FP,CSEMS05382-1,BC546A,30,Digikey vals: ['80']
FP,CSEMS05382-1,BC546A,45,Digikey vals: ['80']
FP,CSEMS05382-1,BC546A,65,Digikey vals: ['80']
FP,CSEMS05382-1,BC546B,30,Digikey parts: {'BC546A': ['80']}
FP,CSEMS05382-1,BC546B,45,Digikey parts: {'BC546A': ['80']}
FP,CSEMS05382-1,BC546B,65,Digikey parts: {'BC546A': ['80']}
FP,CSEMS05382-1,BC547,30,Digikey parts: {'BC546A': ['80']}
FP,CSEMS05382-1,BC547,45,Digikey parts: {'BC546A': ['80']}
FP,CSEMS05382-1,BC547,65,Digikey parts: {'BC546A': ['80']}
FP,CSEMS05382-1,BC547A,30,Digikey parts: {'BC546A': ['80']}
FP,CSEMS05382-1,BC547A,45,Digikey parts: {'BC546A': ['80']}
FP,CSEMS05382-1,BC547A,65,Digikey parts: {'BC546A': ['80']}
FP,CSEMS05382-1,BC547B,30,Digikey parts: {'BC546A': ['80']}
FP,CSEMS05382-1,BC547B,45,Digikey parts: {'BC546A': ['80']}
FP,CSEMS05382-1,BC547B,65,Digikey parts: {'BC546A': ['80']}
FP,CSEMS05382-1,BC547C,30,Digikey parts: {'BC546A': ['80']}
FP,CSEMS05382-1,BC547C,45,Digikey parts: {'BC546A': ['80']}
FP,CSEMS05382-1,BC547C,65,Digikey parts: {'BC546A': ['80']}
FP,CSEMS05382-1,BC548,30,Digikey parts: {'BC546A': ['80']}
FP,CSEMS05382-1,BC548,45,Digikey parts: {'BC546A': ['80']}
FP,CSEMS05382-1,BC548,65,Digikey parts: {'BC546A': ['80']}
FP,CSEMS05382-1,BC548A,30,Digikey parts: {'BC546A': ['80']}
