TYPE,FILENAME,PART,OUR VALS,NOTES
FP,CENTRALSEMICONDUCTORCORP_2N6107,2N6107,100,Digikey vals: ['70']
FP,CENTRALSEMICONDUCTORCORP_2N6107,2N6109,100,Digikey parts: {'2N6107': ['70']}
FP,CENTRALSEMICONDUCTORCORP_2N6107,2N6111,100,Digikey parts: {'2N6107': ['70']}
FP,CENTRALSEMICONDUCTORCORP_2N6107,2N6288,100,Digikey parts: {'2N6107': ['70']}
FP,CENTRALSEMICONDUCTORCORP_2N6107,2N6290,100,Digikey parts: {'2N6107': ['70']}
FP,CENTRALSEMICONDUCTORCORP_2N6107,2N6292,100,Digikey parts: {'2N6107': ['70']}
FP,CENTRALSEMICONDUCTORCORP_CJD122TR13,CJD122,100,Digikey parts: {'CJD122TR13': ['100']}
FP,CENTRALSEMICONDUCTORCORP_CJD122TR13,CJD127,100,Digikey parts: {'CJD122TR13': ['100']}
FP,CENTRALSEMICONDUCTORCORP_CJD13003TR13,CJD13003,400,Digikey parts: {'CJD13003TR13': ['400']}
FP,CENTRALSEMICONDUCTORCORP_CJD47TR13,CJD47,250,Digikey parts: {'CJD47TR13': ['250']}
FP,CENTRALSEMICONDUCTORCORP_CJD47TR13,CJD47,400,Digikey parts: {'CJD47TR13': ['250']}
FP,CENTRALSEMICONDUCTORCORP_CJD47TR13,CJD50,250,Digikey parts: {'CJD47TR13': ['250']}
FP,CENTRALSEMICONDUCTORCORP_CJD47TR13,CJD50,400,Digikey parts: {'CJD47TR13': ['250']}
FP,CENTRALSEMICONDUCTORCORP_CMPT4403TR,CMPT4401,40,Digikey parts: {'CMPT4403TR': ['40']}
FP,CENTRALSEMICONDUCTORCORP_CMPT4403TR,CMPT4403,40,Digikey parts: {'CMPT4403TR': ['40']}
FP,CENTRALSEMICONDUCTORCORP_CMPTA56TR,CMPTA06,80,Digikey parts: {'CMPTA56TR': ['80']}
FP,CENTRALSEMICONDUCTORCORP_CMPTA56TR,CMPTA56,80,Digikey parts: {'CMPTA56TR': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,BDV65,40,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,BDV65,60,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,BDV65A,40,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,BDV65A,60,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,BDV65B,60,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,CQ218I-40D,60,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,CQ218I-40M,40,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,CQ218I-40M,60,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,CQ218I-40N,60,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,TIP35,100,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,TIP35,40,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,TIP35,60,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,TIP35,80,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,TIP35A,100,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,TIP35A,40,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,TIP35A,60,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,TIP35A,80,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,TIP35B,100,Digikey vals: ['80']
FP,CENTRALSEMICONDUCTORCORP_TIP35B,TIP35B,40,Digikey vals: ['80']
FP,CENTRALSEMICONDUCTORCORP_TIP35B,TIP35B,60,Digikey vals: ['80']
FP,CENTRALSEMICONDUCTORCORP_TIP35B,TIP35C,40,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,TIP35C,60,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,TIP36,60,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,TIP36A,60,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP36CSL,BDV65,40,Digikey parts: {'TIP36CSL': ['100']}
FP,CENTRALSEMICONDUCTORCORP_TIP36CSL,BDV65,60,Digikey parts: {'TIP36CSL': ['100']}
