Type:,Filename:,Part:,Our Vals:,Notes:,Discrepancy Type:,Discrepancy Notes:,Annotator:
FP,DIODESINCORPORATED_FCX690BTA,AP02001,45,Gold parts: {'FCX690B-13R': ['45']}
FP,ONSEMICONDUCTOR_BUL45D2,MJE210,100,Gold parts: {'BUL45D2G': ['400']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29B-BP-HF,220,Gold parts: {'TIP30': ['40']}
FP,CSEMS05382-1,BC546B,30,Gold parts: {'BC547C': ['45']}
FP,CSEMS05382-1,BC548B,65,Gold parts: {'BC547C': ['45']}
FP,DIODS13249-1,BC817-16,25,Gold vals: ['45']
FP,ONSEMICONDUCTOR_MJE18004D2G,MJE18004D2G,100,Gold vals: ['450']
FP,ONSEMICONDUCTOR_MMBT6521LT1,AN569,25,Gold parts: {'SMMBT6521LT1G': ['25']}
FP,BC546-D,BC548,65,Gold parts: {'BC548C': ['30']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30B-BP-HF,100,Gold parts: {'TIP30': ['40']}
FP,SANKEN_2SD2643,2SB1687,110,Gold parts: {'2SD2643': ['110']}
FP,DIODESINCORPORATED_FCX495TC,AP02002,150,Gold parts: {'FCX495': ['150']}
FP,DIODESINCORPORATED_2DA1213Y13,AP02002,50,Gold parts: {'2DA1213Y-13R': ['50']}
FP,DIODESINCORPORATED_DXT790AP513,DXT790A,40,Gold parts: {'DXT790AP5': ['40']}
FP,DIODS13249-1,BC818-40,45,Gold parts: {'BC817-16': ['45']}
FP,BC546-D,BC547C,65,Gold parts: {'BC548C': ['30']}
FP,BC546-D,BC547CZL1G,30,Gold parts: {'BC548C': ['30']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30A-BP,220,Gold parts: {'TIP30': ['40']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30C-BP-HF,60,Gold parts: {'TIP30': ['40']}
FP,CSEMS03485-1,2N3904,40,Gold parts: {'2N3905': ['40']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30C-BP,80,Gold parts: {'TIP30': ['40']}
FP,BC546-D,BC547ARL,30,Gold parts: {'BC548C': ['30']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29A-BP,220,Gold parts: {'TIP30': ['40']}
FP,DIODESINCORPORATED_ZXTN19100CGTA,ZXTN19,100,Gold parts: {'ZXTN19100CGTA': ['100']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30B,220,Gold parts: {'TIP30': ['40']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30C,60,Gold parts: {'TIP30': ['40']}
FP,BC546-D,BC548BZL1G,45,Gold parts: {'BC548C': ['30']}
FP,CSEMS05382-1,BC547C,30,Gold vals: ['45']
FP,SANKEN_2SC4886,2SA1860,150,Gold parts: {'2SC4886': ['150']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29B-BP,220,Gold parts: {'TIP30': ['40']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29C-BP-HF,60,Gold parts: {'TIP30': ['40']}
FP,ONSEMICONDUCTOR_MMBT6521LT1,MMBT6521LT1,25,Gold parts: {'SMMBT6521LT1G': ['25']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30B-BP,220,Gold parts: {'TIP30': ['40']}
FP,BC546-D,BC547C,30,Gold parts: {'BC548C': ['30']}
FP,BC546-D,BC547CZL1G,65,Gold parts: {'BC548C': ['30']}
FP,CSEMS05382-1,BC546-48ABC,65,Gold parts: {'BC547C': ['45']}
