type,b,f1,precision,recall
human,0.000,0.818,0.875,0.768
human,0.010,0.818,0.875,0.768
human,0.020,0.818,0.875,0.768
human,0.030,0.818,0.875,0.768
human,0.040,0.818,0.875,0.768
human,0.051,0.818,0.875,0.768
human,0.061,0.818,0.875,0.768
human,0.071,0.818,0.875,0.768
human,0.081,0.818,0.875,0.768
human,0.091,0.818,0.875,0.768
human,0.101,0.818,0.875,0.768
human,0.111,0.818,0.875,0.768
human,0.121,0.818,0.875,0.768
human,0.131,0.818,0.875,0.768
human,0.141,0.818,0.875,0.768
human,0.152,0.814,0.874,0.761
human,0.162,0.814,0.874,0.761
human,0.172,0.810,0.873,0.755
human,0.182,0.810,0.873,0.755
human,0.192,0.810,0.873,0.755
human,0.202,0.810,0.873,0.755
human,0.212,0.810,0.873,0.755
human,0.222,0.810,0.873,0.755
human,0.232,0.810,0.873,0.755
human,0.242,0.810,0.873,0.755
human,0.253,0.810,0.873,0.755
human,0.263,0.810,0.873,0.755
human,0.273,0.810,0.873,0.755
human,0.283,0.810,0.873,0.755
human,0.293,0.810,0.873,0.755
human,0.303,0.810,0.873,0.755
human,0.313,0.806,0.872,0.748
human,0.323,0.806,0.872,0.748
human,0.333,0.806,0.872,0.748
human,0.343,0.806,0.872,0.748
human,0.354,0.806,0.872,0.748
human,0.364,0.806,0.872,0.748
human,0.374,0.806,0.872,0.748
human,0.384,0.806,0.872,0.748
human,0.394,0.801,0.871,0.742
human,0.404,0.801,0.871,0.742
human,0.414,0.801,0.871,0.742
human,0.424,0.801,0.871,0.742
human,0.434,0.801,0.871,0.742
human,0.444,0.801,0.871,0.742
human,0.455,0.804,0.878,0.742
human,0.465,0.804,0.878,0.742
human,0.475,0.804,0.878,0.742
human,0.485,0.804,0.878,0.742
human,0.495,0.804,0.878,0.742
human,0.505,0.804,0.878,0.742
human,0.515,0.804,0.878,0.742
human,0.525,0.804,0.878,0.742
human,0.535,0.804,0.878,0.742
human,0.545,0.804,0.878,0.742
human,0.556,0.804,0.878,0.742
human,0.566,0.804,0.878,0.742
human,0.576,0.804,0.878,0.742
human,0.586,0.804,0.878,0.742
human,0.596,0.804,0.878,0.742
human,0.606,0.804,0.878,0.742
human,0.616,0.804,0.878,0.742
human,0.626,0.804,0.878,0.742
human,0.636,0.804,0.878,0.742
